"","Team","net_rating","off_eFG","off_tov_rate","off_reb_rate","off_ft_fga_ratio","def_eFG","def_tov_rate","def_reb_rate","def_ft_fga_ratio","season","top_3_players","top_3_vorp","best_player","best_vorp","clutch_plus_minus"
"592","San Antonio Spurs",-7.3,0.53,13,22.8,0.174,0.562,11.8,76.1,0.179,2024,"Victor Wembanyama, Devin Vassell, Tre Jones",4.8,"Victor Wembanyama",3,-2.1
"593","Toronto Raptors",-6.5,0.458,13.6,28.2,0.203,0.489,13.1,70.7,0.226,2003,"Vince Carter, Alvin Williams, Jerome Williams",5,"Vince Carter",2.4,-0.4
"594","Toronto Raptors",-3.4,0.454,14.1,23.8,0.195,0.449,14.1,70.1,0.241,2004,"Vince Carter, Donyell Marshall, Morris Peterson",8.4,"Vince Carter",3.9,-1
"595","Toronto Raptors",-1.8,0.492,12.5,23.7,0.244,0.499,13.4,71.1,0.24,2005,"Donyell Marshall, Rafer Alston, Morris Peterson",7.7,"Donyell Marshall",2.9,0.6
"596","Toronto Raptors",-3.2,0.5,12.4,25.4,0.249,0.53,13.5,73.3,0.263,2006,"Chris Bosh*, Mike James, Morris Peterson",8.2,"Chris Bosh*",3.4,-1.3
"597","Toronto Raptors",1,0.504,13,22.2,0.239,0.503,14.3,74.5,0.219,2007,"Chris Bosh*, Anthony Parker, T.J. Ford",8.4,"Chris Bosh*",3.1,0.5
"598","Toronto Raptors",3.2,0.511,11.4,23.4,0.2,0.505,13.5,75,0.205,2008,"José Calderón, Chris Bosh*, Jamario Moon",10.2,"José Calderón",4.1,-0.7
"599","Toronto Raptors",-3,0.494,12.8,24,0.23,0.511,12.6,73.7,0.202,2009,"Chris Bosh*, José Calderón, Jamario Moon",7.9,"Chris Bosh*",3.5,-0.4
"600","Toronto Raptors",-1.9,0.521,12.7,24.7,0.244,0.513,11.8,72.9,0.247,2010,"Chris Bosh*, Jarrett Jack, Hedo Türkoğlu",6.4,"Chris Bosh*",3.6,1
"601","Toronto Raptors",-6.8,0.491,13.7,28.2,0.221,0.522,13,72,0.251,2011,"José Calderón, Amir Johnson, Julian Wright",3.8,"José Calderón",1.5,-2.2
"602","Toronto Raptors",-3.7,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,2012,"José Calderón, James Johnson, Andrea Bargnani",3.8,"José Calderón",1.7,-1.8
"603","Toronto Raptors",-1.6,0.488,13,25.5,0.216,0.5,13.6,73.4,0.247,2013,"Kyle Lowry, José Calderón, Amir Johnson",6.1,"Kyle Lowry",2.5,-2.4
"604","Toronto Raptors",3.5,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,2014,"Kyle Lowry, DeMar DeRozan, Amir Johnson",9.1,"Kyle Lowry",4.8,0.6
"605","Toronto Raptors",3.3,0.508,12,25.6,0.232,0.506,13.4,73.3,0.208,2015,"Kyle Lowry, Patrick Patterson, Lou Williams",7.8,"Kyle Lowry",3.1,-0.6
"606","Toronto Raptors",4.8,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,2016,"Kyle Lowry, DeMar DeRozan, Jonas Valančiūnas",10.3,"Kyle Lowry",5.7,1.1
"607","Toronto Raptors",4.5,0.517,11.8,25,0.233,0.507,13.5,76.3,0.223,2017,"Kyle Lowry, DeMar DeRozan, Jonas Valančiūnas",9.1,"Kyle Lowry",4.6,1.3
"608","Toronto Raptors",7.9,0.539,12.1,23,0.198,0.501,13,77.7,0.212,2018,"Kyle Lowry, DeMar DeRozan, Delon Wright",11.5,"Kyle Lowry",4.5,0.5
"609","Toronto Raptors",6,0.543,12.4,21.9,0.198,0.509,13.1,77.1,0.19,2019,"Kawhi Leonard, Pascal Siakam, Kyle Lowry",9.9,"Kawhi Leonard",4.7,1.1
"610","Toronto Raptors",6.1,0.536,13.1,21.3,0.21,0.502,14.6,76.7,0.202,2020,"Kyle Lowry, Fred VanVleet, Pascal Siakam",7.1,"Kyle Lowry",2.8,2
"611","Toronto Raptors",-0.5,0.529,11.9,20.8,0.196,0.543,14.4,76.3,0.234,2021,"Fred VanVleet, Chris Boucher, Kyle Lowry",5.7,"Fred VanVleet",2.2,-1.4
"612","Toronto Raptors",2.4,0.51,11,28.4,0.177,0.535,14.4,75.6,0.199,2022,"Pascal Siakam, Fred VanVleet, Scottie Barnes",9,"Pascal Siakam",3.6,0.9
"613","Toronto Raptors",1.5,0.517,10.3,27.8,0.201,0.565,15.3,76.7,0.223,2023,"Pascal Siakam, Fred VanVleet, Scottie Barnes",7.9,"Pascal Siakam",3.4,0
"614","Toronto Raptors",-5.1,0.538,12.1,24.4,0.179,0.56,12.2,74.1,0.172,2024,"Scottie Barnes, Pascal Siakam, Jakob Poeltl",5.1,"Scottie Barnes",3,-0.9
"615","Utah Jazz",2.7,0.486,16,32.5,0.283,0.468,15.2,70.2,0.256,2003,"Karl Malone*, Andrei Kirilenko, John Stockton*",13,"Karl Malone*",4.6,0.5
"616","Utah Jazz",-1.4,0.456,16.1,34.1,0.266,0.468,15.4,72.4,0.319,2004,"Andrei Kirilenko, Carlos Arroyo, Greg Ostertag",10.1,"Andrei Kirilenko",7.2,1
"617","Utah Jazz",-4.8,0.469,15,31.9,0.273,0.499,14.2,72.3,0.34,2005,"Andrei Kirilenko, Mehmet Okur, Carlos Boozer",7.6,"Andrei Kirilenko",3.8,-1.5
"618","Utah Jazz",-2.9,0.467,15,32.4,0.286,0.49,14,73.2,0.303,2006,"Andrei Kirilenko, Mehmet Okur, Carlos Boozer",9.4,"Andrei Kirilenko",5.6,0.2
"619","Utah Jazz",3.1,0.502,14.5,31.7,0.283,0.496,14.4,75.1,0.314,2007,"Carlos Boozer, Andrei Kirilenko, Mehmet Okur",10.1,"Carlos Boozer",4.3,1.1
"620","Utah Jazz",7.3,0.528,13.6,29.5,0.265,0.501,15,74.1,0.294,2008,"Deron Williams, Andrei Kirilenko, Carlos Boozer",12,"Deron Williams",4.5,-0.1
"621","Utah Jazz",2.8,0.504,13.6,28.2,0.274,0.505,15,72.7,0.262,2009,"Deron Williams, Ronnie Brewer, Andrei Kirilenko",8.3,"Deron Williams",3.8,0.1
"622","Utah Jazz",5.7,0.524,14.2,26.8,0.252,0.492,14.2,75.6,0.269,2010,"Deron Williams, Carlos Boozer, Andrei Kirilenko",10.8,"Deron Williams",4.1,-0.5
"623","Utah Jazz",-2,0.498,13.5,27,0.241,0.505,13.8,71.7,0.275,2011,"Deron Williams, Paul Millsap, Andrei Kirilenko",7.5,"Deron Williams",2.9,0.1
"624","Utah Jazz",0.7,0.481,13,30.2,0.227,0.493,13.8,73.8,0.245,2012,"Paul Millsap, Al Jefferson, Gordon Hayward",7.9,"Paul Millsap",3.1,0.2
"625","Utah Jazz",-0.1,0.492,13.8,28.8,0.214,0.501,14,73.2,0.226,2013,"Al Jefferson, Paul Millsap, Gordon Hayward",7.7,"Al Jefferson",2.8,0.3
"626","Utah Jazz",-7.8,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227,2014,"Gordon Hayward, Derrick Favors, Marvin Williams",4.1,"Gordon Hayward",2,-1
"627","Utah Jazz",0.2,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.199,2015,"Gordon Hayward, Rudy Gobert, Derrick Favors",10,"Gordon Hayward",4,-0.1
"628","Utah Jazz",2,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,2016,"Gordon Hayward, Derrick Favors, Rudy Gobert",7.9,"Gordon Hayward",3.3,-2.2
"629","Utah Jazz",4.3,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,2017,"Gordon Hayward, Rudy Gobert, George Hill",11.2,"Gordon Hayward",4.5,0.9
"630","Utah Jazz",4.5,0.527,13.7,21.5,0.202,0.506,14,79.8,0.19,2018,"Joe Ingles, Rudy Gobert, Donovan Mitchell",7.5,"Joe Ingles",2.8,1
"631","Utah Jazz",5.2,0.538,13.4,22.9,0.217,0.507,12.4,80.3,0.189,2019,"Rudy Gobert, Derrick Favors, Donovan Mitchell",11.6,"Rudy Gobert",4.8,0.4
"632","Utah Jazz",2.4,0.549,13.7,21.6,0.208,0.518,11.1,78.9,0.185,2020,"Rudy Gobert, Donovan Mitchell, Royce O'Neale",8.6,"Rudy Gobert",3.3,1
"633","Utah Jazz",9.3,0.563,12.7,24.5,0.195,0.507,10.3,79.3,0.159,2021,"Rudy Gobert, Donovan Mitchell, Joe Ingles",11.8,"Rudy Gobert",3.8,1.2
"634","Utah Jazz",6.2,0.555,12.7,25.4,0.208,0.521,10.9,78.3,0.164,2022,"Rudy Gobert, Donovan Mitchell, Mike Conley",9.9,"Rudy Gobert",3.6,-0.3
"635","Utah Jazz",-0.9,0.547,13.3,26.8,0.209,0.541,10.9,75.2,0.205,2023,"Lauri Markkanen, Walker Kessler, Kelly Olynyk",6.6,"Lauri Markkanen",3.3,0.4
"636","Utah Jazz",-4.1,0.541,13.4,28.4,0.208,0.567,10.7,75.8,0.184,2024,"Lauri Markkanen, Collin Sexton, Kelly Olynyk",5.7,"Lauri Markkanen",2.5,1
"637","Washington Wizards",-1.1,0.46,13,27.3,0.253,0.477,13.8,71.6,0.212,2003,"Michael Jordan*, Jerry Stackhouse, Christian Laettner",7.3,"Michael Jordan*",2.8,-0.4
"638","Washington Wizards",-6,0.454,16,30.7,0.241,0.486,14.9,69.5,0.214,2004,"Larry Hughes, Gilbert Arenas, Kwame Brown",3.4,"Larry Hughes",1.5,-1.5
"639","Washington Wizards",-0.3,0.474,12.9,31.1,0.264,0.498,14.6,70,0.23,2005,"Gilbert Arenas, Larry Hughes, Antawn Jamison",9.9,"Gilbert Arenas",5.2,0.3
"640","Washington Wizards",2,0.484,12.8,29.5,0.284,0.504,15.1,70.9,0.256,2006,"Gilbert Arenas, Antawn Jamison, Caron Butler",10.7,"Gilbert Arenas",6.3,-0.3
"641","Washington Wizards",-0.5,0.491,12.6,28.1,0.272,0.517,14.4,71,0.249,2007,"Gilbert Arenas, Antawn Jamison, Caron Butler",9,"Gilbert Arenas",5,-1.7
"642","Washington Wizards",-0.4,0.489,12.5,28.9,0.233,0.513,13.5,72.8,0.217,2008,"Caron Butler, Antawn Jamison, DeShawn Stevenson",7.6,"Caron Butler",3.5,0.4
"643","Washington Wizards",-8.2,0.48,13.2,27.7,0.224,0.533,13.3,71.4,0.227,2009,"Antawn Jamison, Caron Butler, Dominic McGuire",5.2,"Antawn Jamison",2.8,-1.8
"644","Washington Wizards",-5.2,0.481,13.9,27.6,0.216,0.502,12.8,72.4,0.239,2010,"Andray Blatche, Mike Miller, Gilbert Arenas",4.1,"Andray Blatche",1.5,-0.9
"645","Washington Wizards",-7.8,0.471,13.9,28,0.216,0.512,14.4,70.5,0.249,2011,"JaVale McGee, John Wall, Andray Blatche",2.3,"JaVale McGee",0.9,-1.5
"646","Washington Wizards",-5.2,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229,2012,"John Wall, JaVale McGee, Nenê",2.7,"John Wall",1.6,-1.4
"647","Washington Wizards",-2.8,0.475,14.2,24.6,0.191,0.483,13.7,74.6,0.206,2013,"John Wall, Trevor Ariza, Martell Webster",5.6,"John Wall",2.4,-1.9
"648","Washington Wizards",1.4,0.506,13.6,25.2,0.181,0.504,15,75.7,0.22,2014,"John Wall, Trevor Ariza, Marcin Gortat",8.4,"John Wall",3.6,-0.9
"649","Washington Wizards",0.7,0.499,14,24.9,0.192,0.481,12.9,77.3,0.21,2015,"John Wall, Marcin Gortat, Paul Pierce*",7.8,"John Wall",4,-1.2
"650","Washington Wizards",-0.5,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,2016,"John Wall, Otto Porter Jr., Marcin Gortat",7.2,"John Wall",3.9,0
"651","Washington Wizards",1.9,0.528,12.8,24.1,0.199,0.524,13.8,75.5,0.213,2017,"John Wall, Bradley Beal, Otto Porter Jr.",11.8,"John Wall",4.8,1.4
"652","Washington Wizards",0.6,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212,2018,"Otto Porter Jr., Bradley Beal, John Wall",8.3,"Otto Porter Jr.",3.4,-0.4
"653","Washington Wizards",-2.8,0.531,12.3,21.3,0.204,0.546,13.5,74.1,0.199,2019,"Bradley Beal, Thomas Bryant, John Wall",6,"Bradley Beal",3.7,-0.8
"654","Washington Wizards",-4.6,0.523,12.2,22.2,0.213,0.558,13.9,75.3,0.231,2020,"Bradley Beal, Thomas Bryant, Dāvis Bertāns",4.8,"Bradley Beal",2.5,-1.5
"655","Washington Wizards",-1.8,0.531,12.3,21.3,0.221,0.539,12.5,77.6,0.217,2021,"Russell Westbrook, Bradley Beal, Daniel Gafford",6.9,"Russell Westbrook",3.4,0.3
"656","Washington Wizards",-3.4,0.532,12.1,20.9,0.197,0.529,10.7,76.9,0.202,2022,"Montrezl Harrell, Daniel Gafford, Kyle Kuzma",5.2,"Montrezl Harrell",1.9,1.4
"657","Washington Wizards",-1.2,0.55,12.7,22.6,0.202,0.54,11,76.1,0.194,2023,"Kristaps Porziņģis, Delon Wright, Bradley Beal",6.7,"Kristaps Porziņģis",3.4,-0.9
"658","Washington Wizards",-9.4,0.536,12.2,20.6,0.17,0.564,12.1,72,0.2,2024,"Tyus Jones, Daniel Gafford, Kyle Kuzma",3.2,"Tyus Jones",1.3,-3.8
